,zone,agg_value,CA,total,owner,mean_value
0,0,1754327600.0,12.0,24916.0,6518.0,269151.0
1,1,3698190800.0,28.0,25869.0,12557.0,294512.0
2,2,2997284000.0,36.0,30970.0,9066.0,330607.0
3,3,3340044400.0,44.0,18481.0,7106.0,470032.0
4,4,5875240000.0,70.0,14237.0,8216.0,715097.0
5,5,11726797400.0,204.0,53490.0,20010.0,586047.0
6,6,13547867900.0,140.0,32020.0,14442.0,938088.0
7,7,16783291100.0,160.0,59093.0,24067.0,697357.0
8,8,1429772300.0,27.0,4461.0,3636.0,393227.0
9,9,4698700100.0,80.0,16916.0,13084.0,359118.0
10,10,2142898500.0,66.0,10521.0,6908.0,310205.0
11,11,3196964800.0,48.0,7082.0,6499.0,491916.0
12,12,1285659100.0,52.0,6728.0,3348.0,384008.0
13,13,2577338300.0,154.0,16782.0,6892.0,373961.0
14,14,4065544500.0,210.0,22569.0,13426.0,302811.0
15,15,4204099300.0,240.0,20916.0,10653.0,394640.0
16,16,3183563200.0,187.0,15886.0,12265.0,259565.0
17,17,693539800.0,36.0,4612.0,2783.0,249206.0
18,18,3007902600.0,323.0,22723.0,12107.0,248443.0
19,19,965652700.0,120.0,7178.0,3634.0,265727.0
20,20,2681542800.0,210.0,13735.0,5831.0,459877.0
21,21,5843668100.0,594.0,31191.0,11382.0,513413.0
22,22,1549439100.0,345.0,17767.0,6673.0,232195.0
23,23,8719615300.0,744.0,38269.0,15523.0,561722.0
24,24,3066302000.0,600.0,33461.0,13802.0,222164.0
25,25,262047300.0,260.0,5473.0,1321.0,198370.0
26,26,324350200.0,324.0,6855.0,1520.0,213388.0
27,27,4466509900.0,560.0,29519.0,10078.0,443194.0
28,28,438021400.0,435.0,10690.0,2487.0,176124.0
29,29,1299374500.0,540.0,18717.0,7401.0,175567.0
30,30,1147846000.0,341.0,12632.0,3946.0,290888.0
31,31,1840916500.0,160.0,13601.0,4630.0,397606.0
32,32,713440000.0,99.0,2432.0,1452.0,491350.0
33,33,751438200.0,170.0,5454.0,2106.0,356808.0
34,34,424890600.0,350.0,10140.0,1548.0,274477.0
35,35,352048000.0,108.0,3144.0,699.0,503645.0
36,36,34583800.0,74.0,1133.0,236.0,146542.0
37,37,675937500.0,570.0,8633.0,2294.0,294655.0
38,38,1313144000.0,273.0,9834.0,3204.0,409845.0
39,39,45325500.0,240.0,4695.0,275.0,164820.0
40,40,1785943200.0,492.0,13676.0,4761.0,375119.0
41,41,583652300.0,462.0,10985.0,2707.0,215609.0
42,42,1084152700.0,645.0,23023.0,5257.0,206230.0
43,43,1117799600.0,440.0,14368.0,5777.0,193491.0
44,44,483895500.0,90.0,4069.0,2715.0,178230.0
45,45,1260035100.0,460.0,9579.0,3926.0,320946.0
46,46,95437000.0,47.0,992.0,552.0,172893.0
47,47,697991300.0,240.0,5456.0,3948.0,176796.0
48,48,891388900.0,686.0,12360.0,6417.0,138911.0
49,49,229004400.0,150.0,3317.0,1658.0,138121.0
50,50,302179700.0,204.0,5385.0,2762.0,109406.0
51,51,716999600.0,312.0,6981.0,4938.0,145200.0
52,52,1200607800.0,477.0,10460.0,6565.0,182880.0
53,53,16803000.0,108.0,2757.0,180.0,93350.0
54,54,409376400.0,110.0,3507.0,2647.0,154657.0
55,55,2554705100.0,616.0,12340.0,10475.0,243886.0
56,56,534575500.0,285.0,4132.0,2659.0,201044.0
57,57,1293586100.0,580.0,12320.0,6170.0,209657.0
58,58,906745300.0,295.0,5366.0,3523.0,257379.0
59,59,2319117600.0,600.0,12906.0,6318.0,367065.0
60,60,705012400.0,1037.0,12171.0,4185.0,168462.0
61,61,744142400.0,248.0,5401.0,3797.0,195982.0
62,62,841137000.0,504.0,8959.0,4883.0,172258.0
63,63,1312856700.0,448.0,8654.0,5995.0,218992.0
64,64,1240064700.0,390.0,9176.0,6297.0,196929.0
65,65,1152320600.0,726.0,16645.0,7207.0,159889.0
66,66,708157900.0,1273.0,9449.0,4168.0,169904.0
67,67,276448400.0,748.0,9166.0,2068.0,133679.0
68,68,752585200.0,828.0,12260.0,3948.0,190624.0
69,69,2117281100.0,560.0,12939.0,10964.0,193112.0
70,70,1217769200.0,1065.0,17253.0,7821.0,155705.0
71,71,2263398500.0,504.0,7390.0,6232.0,363190.0
72,72,965675300.0,584.0,9331.0,6519.0,148132.0
73,73,1486175000.0,296.0,6945.0,5744.0,258735.0
74,74,1436282400.0,525.0,10589.0,7231.0,198628.0
75,75,1161538800.0,456.0,9455.0,4209.0,275966.0
76,76,4000225200.0,1309.0,28890.0,10244.0,390494.0
